name,value
Apple,214480
Google,155506
Amazon,100764
Microsoft,92715
Coca-Cola,66341
Samsung,59890
Toyota,53404
Mercedes-Benz,48601
Facebook,45168
McDonald's,43417
Intel,43293
IBM,42972
BMW,41006
Disney,39874
Cisco,34575
GE,32757
Nike,30120
Louis Vuitton,28152
Oracle,26133
Honda,23682
SAP,22885
Pepsi,20798
Chanel,20005
American Express,19139
Zara,17712
J.P. Morgan,17567
IKEA,17458
Gillette,16864
UPS,16849
H&M,16826
Pampers,16617
Hermès,16372
Budweiser,15627
Accenture,14214
Ford,13995
Hyundai,13535
NESCAFÉ,13053
eBay,13017
Gucci,12942
Nissan,12213
Volkswagen,12201
Audi,12187
Philips,12104
Goldman Sachs,11769
Citi,11577
HSBC,11208
AXA,11118
L'Oréal,11102
Allianz,10821
adidas,10772
Adobe,10748
Porsche,10707
Kellogg's,10634
HP,10433
Canon,10380
Siemens,10132
Starbucks,9615
Danone,9533
Sony,9316
3M,9104
Visa,9021
Nestlé,8938
Morgan Stanley,8802
Colgate,8659
Hewlett Packard Enterprise,8157
Netflix,8111
Cartier,7646
Huawei,7578
Banco Santander,7547
Mastercard,7545
Kia,6925
FedEx,6890
PayPal,6621
LEGO,6533
Salesforce.com,6432
Panasonic,6293
Johnson & Johnson,6231
Land Rover,6221
DHL,5881
Ferrari,5760
Discovery,5755
Caterpillar,5730
Tiffany & Co.,5642
Jack Daniel's,5641
Corona,5517
KFC,5481
Heineken,5393
John Deere,5375
Shell,5276
MINI,5254
Dior,5223
Spotify,5176
Harley-Davidson,5161
Burberry,4989
Prada,4812
Sprite,4733
Johnnie Walker,4731
Hennessy,4722
Nintendo,4696
Subaru,4214