month,vacancies
1980-05-01,36.7
1980-08-01,37.5
1980-11-01,38.7
1981-02-01,37.4
1981-05-01,44
1981-08-01,44.5
1981-11-01,41.7
1982-02-01,37.3
1982-05-01,30.3
1982-08-01,26.8
1982-11-01,30.3
1983-02-01,29.7
1983-05-01,32.4
1983-08-01,33.6
1983-11-01,36.3
1984-02-01,44.6
1984-05-01,40.3
1984-08-01,48.5
1984-11-01,49.8
1985-02-01,60.4
1985-05-01,68.6
1985-08-01,67.2
1985-11-01,66.2
1986-02-01,64.8
1986-05-01,66.1
1986-08-01,61.1
1986-11-01,66.3
1987-02-01,69.5
1987-05-01,66.9
1987-08-01,70.1
1987-11-01,66.9
1988-02-01,70.2
1988-05-01,74.4
1988-08-01,80.8
1988-11-01,85.1
1989-02-01,84.7
1989-05-01,93.7
1989-08-01,76.6
1989-11-01,79.2
1990-02-01,71.9
1990-05-01,64
1990-08-01,56.7
1990-11-01,41.6
1991-02-01,33.8
1991-05-01,31.6
1991-08-01,29.8
1991-11-01,30.9
1992-02-01,33.3
1992-05-01,31.9
1992-08-01,33
1992-11-01,36.9
1993-02-01,37
1993-05-01,42
1993-08-01,46.2
1993-11-01,48.5
1994-02-01,57.6
1994-05-01,69.5
1994-08-01,82.2
1994-11-01,85.6
1995-02-01,72.7
1995-05-01,77.3
1995-08-01,74.6
1995-11-01,72.5
1996-02-01,81
1996-05-01,76.7
1996-08-01,77.5
1996-11-01,82.5
1997-02-01,81.3
1997-05-01,82.8
1997-08-01,84.9
1997-11-01,90.4
1998-02-01,98.3
1998-05-01,104
1998-08-01,89.8
1998-11-01,102
1999-02-01,87.2
1999-05-01,100.2
1999-08-01,106.9
1999-11-01,109.6
2000-02-01,118.1
2000-05-01,115.9
2000-08-01,114.4
2000-11-01,114.8
2001-02-01,99.7
2001-05-01,94
2001-08-01,90.2
2001-11-01,88.5
2002-02-01,90.5
2002-05-01,96.2
2002-08-01,103
2002-11-01,97.6
2003-02-01,109.7
2003-05-01,104.6
2003-08-01,104.1
2003-11-01,107.5
2004-02-01,103.8
2004-05-01,127.1
2004-08-01,124.6
2004-11-01,139.2
2005-02-01,146.2
2005-05-01,140.9
2005-08-01,139
2005-11-01,134.1
2006-02-01,144.3
2006-05-01,154.1
2006-08-01,154.9
2006-11-01,162.1
2007-02-01,160.8
2007-05-01,168.6
2007-08-01,173.3
2007-11-01,183.3
2008-02-01,178.2
2008-05-01,184.5
2009-11-01,148.9
2010-02-01,168.4
2010-05-01,170.3
2010-08-01,178.6
2010-11-01,191.1
2011-02-01,189.4
2011-05-01,187.3
2011-08-01,183.4
2011-11-01,179.3
2012-02-01,181.8
2012-05-01,178.1
2012-08-01,175.3
2012-11-01,164.8
2013-02-01,149.8
2013-05-01,143.5
2013-08-01,140.6
2013-11-01,138.9
2014-02-01,143.2
2014-05-01,147.4
2014-08-01,146.6
2014-11-01,149.7
2015-02-01,151.9
2015-05-01,157.7
2015-08-01,161.7
2015-11-01,167.4
2016-02-01,172.2
2016-05-01,171.1
2016-08-01,177.5
2016-11-01,182.3
2017-02-01,185
2017-05-01,185.6
2017-08-01,200.9
2017-11-01,204.4
2018-02-01,212.8
2018-05-01,223.8
2018-08-01,228.7
2018-11-01,230.2
2019-02-01,232.4
2019-05-01,228.1
2019-08-01,224.3
2019-11-01,226.7
2020-02-01,227.4
2020-05-01,129.2
2020-08-01,206.3
2020-11-01,254.1
2021-02-01,288
2021-05-01,370.2
2021-08-01,333.9
2021-11-01,397.2
2022-02-01,421.9
2022-05-01,480.1